Reinsurance Pricing Summary & Structure Comparison,,,,,
,,,,,
A. XoL LAYER PRICING,,,,,
Metric,"Layer 1
?10B xs ?10B","Layer 2
?30B xs ?30B","Layer 3
?40B xs ?60B",Total XoL Program,
Expected Ceded Loss (?B),15.7,18.8,20.1,54.7,
Layer Limit (?B),20.0,30.0,40.0,90.0,
Rate on Line (ROL),78.5%,62.8%,50.3%,60.7%,
Technical Premium (?B),21.2,25.4,27.2,73.8,
Less: Brokerage (?B),2.1,2.5,2.7,7.4,
Net Premium to Reinsurer (?B),19.1,22.9,24.5,66.4,
,,,,,
,,,,,
B. QUOTA SHARE PRICING,,,,,
Metric,Quota Share 30%,,,,
Expected Ceded Loss (?B),42.0,,,,
Cession Percentage,30.0%,,,,
Technical Premium (?B),56.7,,,,
Less: Ceding Commission (?B),14.2,,,,
Less: Brokerage (?B),4.3,,,,
Net Premium to Reinsurer (?B),38.3,,,,
,,,,,
,,,,,
C. HEAD-TO-HEAD: XoL PROGRAM vs QUOTA SHARE,,,,,
Metric,XoL Program,Quota Share 30%,Broker Recommendation,,
Total Premium Cost (?B),73.8,56.7,QS cheaper,,
Avg Ceded Loss (?B),54.7,42.0,XoL cedes more,,
Max Single-Event Cedent Retention,770.0,0.0,QS protects tail better,,
Cost per ?1B Ceded Loss,1.35,1.35,QS more efficient,,
